BlueID,RedID,Blue_Elixir_Leaked,Red_Elixir_Leaked,Win
JJJUR0YUU,UUG28UVGU,1.59,1.07,0
JJJUR0YUU,UVQC998YP,1.43,4.6,1
JJJUR0YUU,C0UGJQGP8,1.37,1.18,0
JJJUR0YUU,RV92UGVGG,4.44,8.07,1
JJJUR0YUU,LLRV9L29G,31.67,4.35,0
JJJUR0YUU,C0L2GY9YQ,7.66,7.6,0
JJJUR0YUU,V2RR8QJUG,4.41,2.3,1
JJJUR0YUU,VPLQ0LRPP,5.62,15.17,1
JJJUR0YUU,Q8RQPQGLV,22.6,0.46,0
JJJUR0YUU,CGL2QUGRP,11.51,0.39,0
JJJUR0YUU,20JP99VY9G,1.2,18.49,1
JJJUR0YUU,20J8CRQYCC,1.85,9.67,1
JJJUR0YUU,20PC2YQVPR,4.29,21.01,1
JJJUR0YUU,URVCCUPYR,2.82,5.99,0
JJJUR0YUU,UY9GP8YY8,1.66,1.28,0
JJJUR0YUU,2089290RR8,1.59,12.18,1
JJJUR0YUU,CRGGVRRL8,0.0,0.42,1
JJJUR0YUU,JVLJYU0YV,0.85,3.43,0
JJJUR0YUU,VU02C2CQU,0.48,2.6,1
JJJUR0YUU,V9CY90YQJ,0.46,0.0,0
JJJUR0YUU,VRV2GGYQV,2.09,13.09,1
JJJUR0YUU,20Y8CU9RVL,1.96,0.57,0
JJJUR0YUU,VU8RQU88Q,0.0,7.73,0
JJJUR0YUU,V8QR2UUCP,2.06,3.46,1
JJJUR0YUU,GGCYV0QVV,0.04,7.96,1
JJJUR0YUU,VRLR0YGJR,2.46,4.46,1
JJJUR0YUU,VU29Y2U2G,14.85,1.61,0
JJJUR0YUU,202U2QJRPL,2.25,7.56,0
JJJUR0YUU,UVCQGRGU8,6.35,2.35,0
JJJUR0YUU,20C2JCV888,4.46,6.19,1
JJJUR0YUU,22008GCY2,1.11,0.0,0
JJJUR0YUU,RQL88PQ0Y,7.53,0.0,1
JJJUR0YUU,J8RJJQU99,0.68,0.0,0
JJJUR0YUU,U92PUGUP2,0.85,0.0,0
U92PUGUP2,20P2J88UQY,0.28,8.41,0
U92PUGUP2,VR0CQU9CP,1.41,8.41,1
U92PUGUP2,YQY0Y2G82,2.92,3.88,0
U92PUGUP2,URQLPQVL2,0.53,6.02,1
U92PUGUP2,U0P8LQUUC,0.86,0.94,0
U92PUGUP2,V90Y80QUQ,0.34,2.64,1
U92PUGUP2,V9CQQGQ2G,0.0,0.0,1
U92PUGUP2,VYRV2898L,0.43,2.88,1
U92PUGUP2,VVGQYVY2J,2.03,4.73,1
U92PUGUP2,VVCU2RY02,1.67,2.74,1
U92PUGUP2,VQYR2V2YL,0.78,0.85,1
U92PUGUP2,CRLVUP8JQ,0.5,0.0,0
U92PUGUP2,VY08P0J08,13.85,0.86,0
U92PUGUP2,20YGLGQJPL,1.78,0.0,0
U92PUGUP2,V8RJ20V02,13.75,64.75,1
U92PUGUP2,V808PPRY9,0.07,2.33,1
U92PUGUP2,9JVRY2QJC,0.0,6.59,1
U92PUGUP2,20G9QPCYYG,0.0,0.0,1
U92PUGUP2,VPU098U9G,0.26,5.35,1
U92PUGUP2,PJJLVY9JG,39.25,82.25,0
U92PUGUP2,VPGJR90CL,76.5,82.5,1
U92PUGUP2,V0J98RVQU,44.25,36.25,0
U92PUGUP2,V9GV2V0VP,45.62,39.62,0
U92PUGUP2,V2LRVLP22,8.16,1.41,0
U92PUGUP2,208LGG9V08,1.53,5.41,0
U92PUGUP2,208Q0P2VG8,0.48,0.23,1
U92PUGUP2,2UV8QUQ,0.0,1.28,0
U92PUGUP2,UVLR92VQP,1.89,2.47,0
U92PUGUP2,20C08GCPGY,0.67,2.58,1
U92PUGUP2,8Y92QRYY2,0.0,8.18,0
U92PUGUP2,JJJUR0YUU,0.0,0.85,1
U92PUGUP2,ULQ8JC2L8,0.0,12.33,0
U92PUGUP2,UUPVJRGGL,0.0,9.88,0
UUPVJRGGL,JLG9YC8U8,4.99,8.74,0
UUPVJRGGL,JJY99GVQU,7.31,3.7,1
UUPVJRGGL,QGLQL8CPL,14.51,4.51,0
UUPVJRGGL,UULG2UY0L,1.07,1.51,0
UUPVJRGGL,V0PCLPLJG,32.34,36.99,0
UUPVJRGGL,YCQ8P0Y0C,0.96,0.75,0
UUPVJRGGL,209CGLRJGP,2.59,2.67,1
UUPVJRGGL,L0R9JPL2V,7.41,2.78,0
UUPVJRGGL,9CCYCYVPU,7.59,12.41,1
UUPVJRGGL,RLVCVUR2,8.52,20.41,1
UUPVJRGGL,2L8LCJPLL,5.99,3.18,1
UUPVJRGGL,V2V9LYL9Q,8.59,7.41,1
UUPVJRGGL,URC2U9V2G,7.21,31.38,1
UUPVJRGGL,20Y8V9VVYJ,3.13,1.1,0
UUPVJRGGL,PLRJP08YU,7.41,16.41,1
UUPVJRGGL,8L0GLV98J,1.03,2.35,1
UUPVJRGGL,L2Q9RU8J2,6.14,20.99,1
UUPVJRGGL,20909VPPYY,9.03,6.24,0
UUPVJRGGL,VQ2QCUV0G,7.01,0.0,1
UUPVJRGGL,V28CJ9J0V,1.9,0.0,0
V28CJ9J0V,U9G2P02UQ,0.52,0.15,0
V28CJ9J0V,RJ28QPGVR,0.4,4.18,1
V28CJ9J0V,VUJ8CGV8,0.45,17.57,1
V28CJ9J0V,PRLQVL8Y9,0.38,7.7,1
V28CJ9J0V,CY90CQRR,0.0,3.07,1
V28CJ9J0V,R2CRPPGCJ,2.52,8.07,1
V28CJ9J0V,200CRCV9PJ,0.13,0.77,0
V28CJ9J0V,99GVJU9C9,2.03,2.27,1
V28CJ9J0V,R280LPY8Y,4.37,37.1,1
V28CJ9J0V,QYYY2VQ98,0.34,18.48,1
V28CJ9J0V,J90Y0YL0Y,1.15,0.0,0
V28CJ9J0V,8RGQJUP8L,0.0,1.52,0
V28CJ9J0V,P9JLL9JC,2.8,1.37,0
V28CJ9J0V,900QLCC,0.92,3.0,0
V28CJ9J0V,8CVUJY90,3.32,0.0,1
V28CJ9J0V,R920CG8Q2,0.0,0.1,1
V28CJ9J0V,QYVRJ0CGL,0.0,0.1,0
V28CJ9J0V,RGLL2L9C8,0.26,2.2,0
V28CJ9J0V,UGPV92PVQ,0.0,1.17,0
V28CJ9J0V,8QJR2YPQQ,0.0,0.0,1
V28CJ9J0V,9VPLC2Y,1.3,0.03,0
V28CJ9J0V,GYU2GV28C,1.92,0.0,1
V28CJ9J0V,9CUVR8R8,7.21,2.02,0
V28CJ9J0V,UCGJ2G00P,11.41,28.41,1
V28CJ9J0V,JR0G2LYLU,32.41,6.7,0
V28CJ9J0V,UY0QCRRG0,19.57,0.2,0
V28CJ9J0V,209LQYPCG2,169.13,173.13,0
V28CJ9J0V,U8R02UVC,0.49,0.49,0
V28CJ9J0V,909GVCUGJ,0.24,0.83,0
V28CJ9J0V,UYJ8RVQ2J,6.68,1.43,1
V28CJ9J0V,G09CQ0JVG,0.0,20.54,0
G09CQ0JVG,CG88P0ULG,55.02,0.0,0
G09CQ0JVG,9U2QYJCV9,11.18,10.18,1
G09CQ0JVG,UU2RLQVCV,9.91,2.25,0
G09CQ0JVG,CGYYPQP0V,1.81,0.0,0
G09CQ0JVG,UC80CV002,5.08,3.25,1
G09CQ0JVG,UY8VRQVPY,4.35,13.35,1
G09CQ0JVG,GULLLR2U0,14.5,10.28,1
G09CQ0JVG,CLJQ8JLRV,17.75,0.0,1
G09CQ0JVG,202YVY9C90,4.2,4.31,0
G09CQ0JVG,VPCRYCYLP,2.88,6.41,1
G09CQ0JVG,VC8G80V0G,8.68,0.0,1
G09CQ0JVG,UJYC020J0,3.48,3.45,1
G09CQ0JVG,UG2QCLCYL,0.37,2.22,1
G09CQ0JVG,VPQUUQV8V,0.38,18.82,1
G09CQ0JVG,G9CUP9LQJ,0.97,4.61,1
G09CQ0JVG,LLU2UUPV9,3.16,1.45,0
G09CQ0JVG,200202RLVR,2.06,7.51,0
G09CQ0JVG,P2VU9JYJR,1.6,1.24,1
G09CQ0JVG,VPCV8PQRG,3.6,2.31,1
G09CQ0JVG,8Q9PLJR8,4.42,3.85,0
G09CQ0JVG,V9YQG8VYU,27.31,3.18,0
G09CQ0JVG,VVP8LP9YJ,4.03,7.67,1
G09CQ0JVG,VYJ0P2YPU,4.81,5.41,1
G09CQ0JVG,VPLPUJQVY,5.41,5.82,1
G09CQ0JVG,RC88PYULL,2.88,3.2,0
G09CQ0JVG,UVUVLPCRG,4.28,0.23,0
G09CQ0JVG,P9YYYL0QG,5.94,9.29,0
G09CQ0JVG,UULVG0VVJ,0.0,0.62,1
G09CQ0JVG,20Y9PV0CP8,6.1,3.41,1
G09CQ0JVG,JJ2UYRYCC,2.01,5.41,1
G09CQ0JVG,V898RVC9P,6.85,7.27,0
G09CQ0JVG,20PV9QUU29,2.45,1.5,1
G09CQ0JVG,2PGCP009Y,3.03,3.84,1
G09CQ0JVG,UCUQL9LLV,0.0,0.56,1
UCUQL9LLV,PRGLPL9GQ,0.74,0.1,1
UCUQL9LLV,C2URP92GG,169.18,156.97,0
UCUQL9LLV,VQGG9RY8V,0.65,0.75,0
UCUQL9LLV,QLR2R8QCU,12.41,0.85,1
UCUQL9LLV,V0V88RUP2,66.0,56.5,1
UCUQL9LLV,CVGCULLPV,60.75,52.75,1
UCUQL9LLV,Q0PJ02QPC,58.12,57.12,0
UCUQL9LLV,VCYQPCJRQ,45.5,59.5,1
UCUQL9LLV,PJ209R8UP,27.87,13.87,1
UCUQL9LLV,JJPU9UJ82,69.62,64.62,1
UCUQL9LLV,VJUVQPPLY,161.0,77.0,0
UCUQL9LLV,CPJPUQU9Y,106.0,84.0,0
UCUQL9LLV,CGJRRYRVP,85.62,31.62,0
UCUQL9LLV,20GPU9G0V9,143.0,97.0,0
UCUQL9LLV,UY2JJLJY,67.12,69.12,0
UCUQL9LLV,V2VPCJQRQ,80.75,58.75,0
UCUQL9LLV,28QVVRQPG,71.75,39.75,0
UCUQL9LLV,VGRV29YGP,57.0,116.0,0
UCUQL9LLV,9JVL892C9,46.37,36.37,0
UCUQL9LLV,LQ2VPV0LV,133.0,130.0,0
UCUQL9LLV,YJQPJQCUL,60.5,20.5,0
UCUQL9LLV,9UG9GVU2,99.87,28.87,0
UCUQL9LLV,V88PRRJG9,155.75,148.75,1
UCUQL9LLV,LLRLYCYCU,116.5,17.5,0
UCUQL9LLV,V2JRPUJUV,78.0,139.0,1
UCUQL9LLV,CCYLGVRQ0,118.75,107.25,0
UCUQL9LLV,202UQ9822V,0.38,0.16,1
UCUQL9LLV,C8CQ2Y0JV,15.22,6.37,1
UCUQL9LLV,V0R89P8GJ,4.56,2.02,1
UCUQL9LLV,20YRCLP0J8,11.33,4.33,1
UCUQL9LLV,G0GRJQU,0.0,11.77,0
UCUQL9LLV,QR9UJVU8Y,3.94,0.0,0
QR9UJVU8Y,JCU8YP89C,29.35,9.89,0
QR9UJVU8Y,PLUVRGCR,2.53,3.39,0
QR9UJVU8Y,200G2CJRGL,3.73,4.62,1
QR9UJVU8Y,UVYQ089QP,2.24,2.56,1
QR9UJVU8Y,JRLVCJQJR,8.87,7.87,1
QR9UJVU8Y,20Y8CU28RP,1.53,0.0,1
QR9UJVU8Y,UYJCV29V2,3.35,3.89,0
QR9UJVU8Y,20Y8UC8YUY,3.6,1.82,0
QR9UJVU8Y,2QP2CG0YR,0.89,1.1,0
QR9UJVU8Y,RUU82J8RQ,4.05,3.42,1
QR9UJVU8Y,2YLC28QJ0,1.69,3.55,0
QR9UJVU8Y,9U9ULGJ0J,1.03,3.81,1
QR9UJVU8Y,VGRR009VR,2.39,5.23,0
